"HDI Rank","Country",19.6,"",20.0,"",20.5,"",20.6,"",20.7,"",20.8,"",20.9,"",20.0,"",20.1,"",20.2,"",20.3,"",20.4,"",20.5,"",20.6,"",20.7,"",20.8,"",2014.2018,""
69,"Albania","..","","..","","..","","..","",0.1,"",0.2,"","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.2,"a,b"
91,"Algeria","..","","..","",0.1,"","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.5,"","..","",0.5,"a"
1.8,"Angola","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.0,"","..","","..","",0.0,"a"
46,"Argentina",0.4,"",0.4,"",0.4,"",0.5,"",0.5,"",0.5,"",0.6,"",0.6,"",0.6,"",0.6,"",0.6,"",0.6,"",0.6,"",0.6,"",0.5,"","..","",0.5,"a"
81,"Armenia","..","",0.2,"",0.3,"",0.2,"",0.2,"",0.2,"",0.3,"",0.2,"",0.3,"",0.2,"",0.2,"",0.2,"",0.3,"",0.2,"",0.2,"",0.2,"",0.2,"a"
8,"Australia",1.7,"",1.6,"","..","",2.2,"","..","",2.4,"","..","",2.4,"",2.2,"","..","",2.2,"","..","",1.9,"","..","",1.9,"","..","",1.9,"a"
18,"Austria",1.6,"",1.9,"",2.4,"",2.4,"",2.4,"",2.6,"",2.6,"",2.7,"",2.7,"",2.9,"",3.0,"",3.1,"",3.0,"",3.1,"",3.1,"",3.2,"",3.2,"a"
88,"Azerbaijan",0.2,"",0.3,"",0.2,"",0.2,"",0.2,"",0.2,"",0.3,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"a"
42,"Bahrain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.1,"","..","","..","","..","","..","",0.1,"a"
53,"Belarus",1.0,"",0.7,"",0.7,"",0.7,"",1.0,"",0.7,"",0.6,"",0.7,"",0.7,"",0.6,"",0.7,"",0.5,"",0.5,"",0.5,"",0.6,"",0.6,"",0.6,"a"
14,"Belgium",1.7,"",1.9,"",1.8,"",1.8,"",1.8,"",1.9,"",2.0,"",2.1,"",2.2,"",2.3,"",2.3,"",2.4,"",2.5,"",2.6,"",2.7,"",2.8,"",2.8,"a"
1.7,"Bolivia",0.3,"",0.3,"","..","","..","","..","","..","",0.2,"","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.2,"a,b"
73,"Bosnia and Herzegovina","..","","..","",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"","..","","..","",0.3,"",0.3,"",0.3,"",0.2,"",0.2,"",0.2,"",0.2,"",0.2,"a"
1.0,"Botswana","..","","..","",0.5,"","..","","..","","..","","..","","..","","..","",0.3,"",0.5,"","..","","..","","..","","..","","..","",0.5,"a,b"
84,"Brazil","..","",1.0,"",1.0,"",1.0,"",1.1,"",1.1,"",1.1,"",1.2,"",1.1,"",1.1,"",1.2,"",1.3,"",1.3,"",1.3,"",1.3,"","..","",1.3,"a"
47,"Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.3,"",0.3,"a"
56,"Bulgaria",0.4,"",0.5,"",0.4,"",0.4,"",0.4,"",0.4,"",0.5,"",0.6,"",0.5,"",0.6,"",0.6,"",0.8,"",1.0,"",0.8,"",0.8,"",0.8,"",0.8,"a"
1.2,"Burkina Faso",0.2,"","..","",0.2,"","..","",0.1,"",0.2,"",0.2,"","..","","..","","..","","..","",0.2,"","..","","..","",0.7,"","..","",0.7,"a"
1.5,"Burundi","..","","..","","..","","..","",0.2,"",0.2,"",0.1,"",0.1,"","..","",0.1,"","..","","..","","..","","..","","..","",0.2,"",0.2,"a"
1.6,"Cape Verde","..","","..","","..","","..","","..","","..","","..","","..","",0.1,"","..","","..","","..","","..","","..","","..","","..","",0.1,"a,b"
1.4,"Cambodia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.1,"","..","","..","","..","",0.1,"a"
16,"Canada",1.6,"",1.9,"",2.0,"",1.9,"",1.9,"",1.9,"",1.9,"",1.8,"",1.8,"",1.8,"",1.7,"",1.7,"",1.7,"",1.7,"",1.7,"",1.6,"",1.6,"a"
1.7,"Chad","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","",0.3,"","..","","..","",0.3,"a"
43,"Chile","..","","..","","..","","..","",0.3,"",0.4,"",0.4,"",0.3,"",0.4,"",0.4,"",0.4,"",0.4,"",0.4,"",0.4,"",0.4,"","..","",0.4,"a"
85,"China",0.6,"",0.9,"",1.3,"",1.4,"",1.4,"",1.4,"",1.7,"",1.7,"",1.8,"",1.9,"",2.0,"",2.0,"",2.1,"",2.1,"",2.1,"",2.2,"",2.2,"a"
