"Natural resource depletion (% of GNI)"
"Dimension: Environmental sustainability"
"By 2030, achieve the sustainable management and efficient use of natural resources"
"Definition: Monetary valuation of energy, mineral and forest depletion, expressed as a percentage of gross national income (GNI)."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2015-2018",""
"187"," Chad","0.0","","1.3","","2.4","","28.3","","14.0","","17.4","","15.8","","12.1","","11.3","","7.8","","7.6","","12.9","","14.3","","14.3","a"
"43"," Chile","6.0","","4.1","","4.8","","8.4","","10.0","","9.9","","8.7","","7.8","","7.6","","6.3","","5.6","","6.7","","7.2","","7.2","a"
"85"," China","5.1","","1.6","","1.8","","3.3","","4.0","","5.2","","2.5","","1.9","","1.5","","0.8","","0.8","","0.8","","1.0","","1.0","a"
"83"," Colombia","5.4","","2.1","","4.9","","5.4","","5.4","","8.0","","7.0","","6.3","","5.6","","3.3","","2.5","","3.3","","4.7","","4.7","a"
"156"," Comoros","0.0","","0.6","","0.7","","0.8","","1.1","","1.1","","1.3","","1.3","","1.4","","1.8","","1.8","","1.7","","1.0","","1.0","a"
"149"," Congo","34.9","","40.9","","57.0","","57.8","","49.1","","57.9","","51.3","","38.3","","32.3","","14.1","","12.1","","29.9","","46.9","","46.9","a"
"175"," Congo (Democratic Republic of the)","..","","1.7","","0.6","","7.9","","18.0","","22.7","","24.0","","27.7","","27.4","","23.3","","20.8","","16.7","","19.5","","19.5","a"
"62"," Costa Rica","2.7","","2.4","","0.8","","0.8","","1.3","","1.0","","1.0","","1.1","","1.3","","1.1","","1.2","","0.3","","0.2","","0.2","a"
"43"," Croatia","..","","..","","0.7","","0.5","","0.7","","0.9","","0.8","","0.7","","0.5","","0.4","","0.2","","0.3","","0.4","","0.4","a"
"70"," Cuba","0.3","","0.3","","1.0","","1.4","","1.8","","2.3","","1.9","","1.6","","1.4","","0.5","","0.2","","..","","..","","0.2","a"
"33"," Cyprus","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.1","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"27"," Czechia","..","","0.1","","0.1","","0.2","","0.2","","0.3","","0.2","","0.1","","0.1","","0.1","","0.0","","0.1","","0.1","","0.1","a"
"162"," Côte d'Ivoire","0.0","","0.2","","0.4","","3.2","","3.6","","5.2","","4.5","","3.3","","2.6","","2.1","","2.1","","..","","..","","2.1","a"
"10"," Denmark","0.4","","0.2","","1.3","","1.4","","1.2","","1.5","","1.4","","1.0","","0.8","","0.4","","0.3","","0.4","","0.5","","0.5","a"
"166"," Djibouti","..","","..","","..","","..","","..","","..","","..","","0.5","","0.8","","0.6","","0.5","","0.6","","0.3","","0.3","a"
"94"," Dominica","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"88"," Dominican Republic","0.5","","0.9","","0.5","","1.2","","0.1","","0.5","","0.6","","1.2","","1.2","","0.9","","1.2","","1.1","","1.1","","1.1","a"
"86"," Ecuador","11.3","","5.2","","10.1","","12.3","","8.3","","11.8","","10.6","","9.7","","9.0","","3.7","","2.8","","4.2","","6.0","","6.0","a"
"116"," Egypt","15.6","","6.9","","5.3","","10.3","","6.6","","9.0","","8.0","","7.4","","6.4","","3.0","","2.2","","4.1","","5.2","","5.2","a"
"124"," El Salvador","0.8","","0.7","","0.5","","0.4","","1.0","","0.8","","0.8","","0.9","","1.1","","0.8","","1.0","","0.8","","0.6","","0.6","a"
"145"," Equatorial Guinea","0.0","","2.4","","89.3","","91.2","","52.0","","48.5","","50.0","","40.6","","37.7","","20.0","","15.5","","24.9","","31.9","","31.9","a"
"180"," Eritrea","..","","8.6","","4.8","","3.2","","1.8","","15.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"29"," Estonia","..","","..","","0.1","","0.1","","0.9","","1.4","","1.0","","0.7","","0.5","","0.2","","0.2","","0.2","","0.4","","0.4","a"
"138"," Eswatini (Kingdom of)","2.9","","2.1","","1.6","","1.0","","1.5","","1.5","","1.9","","2.1","","1.8","","2.1","","3.0","","2.6","","1.7","","1.7","a"
"173"," Ethiopia","9.5","","26.3","","15.7","","20.1","","14.2","","15.8","","13.6","","12.7","","12.2","","11.1","","10.2","","9.0","","5.5","","5.5","a"
"93"," Fiji","0.3","","0.7","","0.4","","0.0","","1.4","","1.4","","1.5","","0.8","","0.6","","0.6","","0.8","","0.7","","0.8","","0.8","a"
"11"," Finland","0.0","","0.0","","0.0","","0.0","","0.2","","0.2","","0.2","","0.2","","0.2","","0.1","","0.1","","0.2","","0.2","","0.2","a"
"26"," France","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
