10,"Denmark",89.6,"",92.4,"",88.3,"",82.2,"",78.3,"",74.8,"",70.9,"",70.3,"",67.7,"",64.9,"",64.9,"a"
88,"Dominican Republic",76.5,"",84.9,"",87.1,"",86.4,"",85.4,"",86.5,"",84.8,"",86.8,"",86.6,"","..","",86.6,"a"
86,"Ecuador",78.2,"",84.1,"",84.1,"",84.9,"",87.8,"",86.2,"",86.1,"",86.8,"",86.9,"","..","",86.9,"a"
1.6,"Egypt",94.1,"",93.8,"",93.9,"",96.2,"",97.2,"",96.8,"",96.8,"",98.5,"",97.9,"","..","",97.9,"a"
1.4,"El Salvador",31.4,"",46.7,"",44.9,"",44.1,"",46.5,"",47.4,"",48.5,"",47.9,"",48.4,"","..","",48.4,"a"
1.0,"Eritrea","..","",26.8,"",28.3,"",34.4,"",21.6,"",21.9,"",22.5,"",22.6,"",23.1,"","..","",23.1,"a"
29,"Estonia",43.7,"",28.0,"",28.7,"",30.3,"",20.6,"",18.9,"",19.6,"",17.2,"",14.5,"",13.1,"",13.1,"a"
1.3,"Ethiopia",3.5,"",3.3,"",3.4,"",4.1,"",4.6,"",4.6,"",5.0,"",5.8,"",6.6,"","..","",6.6,"a"
11,"Finland",55.5,"",52.9,"",49.8,"",49.2,"",48.8,"",47.0,"",43.0,"",42.6,"",42.2,"",40.2,"",40.2,"a"
26,"France",58.2,"",53.6,"",52.8,"",52.3,"",49.8,"",48.7,"",49.0,"",48.5,"",46.2,"",46.5,"",46.5,"a"
1.9,"Gabon",32.0,"",32.6,"",32.4,"",20.4,"",18.9,"",26.2,"",30.7,"",22.1,"",22.8,"","..","",22.8,"a"
61,"Georgia",88.8,"",68.3,"",59.0,"",64.4,"",64.7,"",72.8,"",74.5,"",68.9,"",72.2,"","..","",72.2,"a"
6,"Germany",86.8,"",85.8,"",83.6,"",81.9,"",79.6,"",80.4,"",80.6,"",81.1,"",79.7,"",78.9,"",78.9,"a"
