1.9,"Uganda","-59.3",""
74,"Ukraine",4.4,""
31,"United Arab Emirates",32.1,""
13,"United Kingdom",13.8,""
17,"United States",2.7,""
55,"Uruguay",134.1,""
1.6,"Uzbekistan",5.4,""
1.0,"Vanuatu",0.0,""
1.3,"Venezuela","-10.6",""
1.7,"Vietnam",67.1,""
1.9,"Yemen",0.0,""
1.6,"Zambia","-8.2",""
1.0,"Zimbabwe","-38.0",""
